id,rmse,a,b,c,d,e,f
51076,3.470772628,0.457823607,-3.676202174,-0.994125434,0.188970844,0.698993633,143.7625012
51431,3.505288903,0.525892859,-2.559893497,-0.969088435,-0.192797507,0.554702351,126.7738724
51463,3.388495617,0.455293394,-2.069260186,-1.023436903,-0.086539439,0.492742186,144.0734425
51644,3.165342235,0.257369454,-6.385929385,-1.956466267,-1.018621594,0.519976457,201.9647596
51709,2.764253348,0.317758264,-4.837847077,-1.716688194,-0.434123046,0.449483097,183.385734
51777,3.548905197,0.271810162,-6.037521788,-1.982552003,-0.968262664,0.249116766,198.1637066
51828,3.233756959,0.286163766,-5.537670299,-1.459472457,-0.953289212,0.186971635,193.4222913
51839,3.252541798,0.292960315,-5.003546138,-1.568112001,-0.661277612,0.258215465,191.1905866
52203,3.100945768,0.429869272,-4.298146556,-1.649213327,-0.677099966,0.516001137,153.3619096
52818,3.19927279,0.358063314,-4.143546743,-1.715155634,-0.367948974,0.449372194,168.836706
52836,3.003443772,0.471104619,-3.572049246,-1.594124869,-0.165167011,0.535317652,137.3284552
52866,2.764382879,0.528264764,-2.277986124,-1.710883621,-0.280939083,0.213257704,124.4173438
56029,2.450964892,0.412976165,-2.493231763,-1.45751558,-0.632888777,-0.297308229,156.0000022
52323,3.201101708,0.431189585,-3.798598778,-1.749338954,-0.556592849,0.545676301,149.3898489
52418,3.543394988,0.308488939,-5.574613451,-1.952966482,-0.83205154,0.568982011,186.618679
52533,3.245859579,0.32899052,-5.012827072,-2.056608825,-0.396020801,0.693348981,178.9408718
52681,3.606990844,0.380251795,-4.316525015,-2.366313985,-0.260160873,0.667055604,165.0285787
52983,2.96264146,0.670949238,-0.088222286,-1.383289633,-0.081146853,0.45059194,84.05985713
53915,3.128261686,0.720810063,-0.455016603,-0.888946593,-0.13141829,0.305656395,71.78359201
56080,2.740498195,0.488353107,-2.982456743,-1.373522975,-0.636186158,0.363146511,134.9286101
53845,3.173202313,0.669704307,-1.208801043,-1.439866134,-0.171147096,0.35619628,84.958596
57127,2.585404505,0.798307295,0.105299553,-0.331485632,-0.096835726,0.003263641,49.5160029
57131,3.082633733,0.707258311,-0.619313517,-0.77193967,-0.180980956,0.099737455,74.8027005
53614,3.250877064,0.650006519,-1.244352797,-1.551914985,-0.060120539,0.574890071,90.75383955
